subset	RMSE (kcal\mol)	r
fa_rep hbond_sc hbond_sr_bb	2.10569212065	0.174995055154
fa_atr fa_rep hbond_sc hbond_sr_bb	1.65535993394	0.585283277493
fa_pair fa_rep hbond_sc hbond_sr_bb	2.05408066461	0.22846174373
fa_atr fa_pair fa_rep hbond_sc hbond_sr_bb	1.67078336755	0.57365184681
fa_sol hbond_sc hbond_sr_bb	1.87418229179	0.398390673952
fa_atr fa_sol hbond_sc hbond_sr_bb	1.59329562994	0.622780294092
fa_pair fa_sol hbond_sc hbond_sr_bb	1.87316561683	0.399750690816
fa_atr fa_pair fa_sol hbond_sc hbond_sr_bb	1.62307796557	0.604399275489
fa_rep fa_sol hbond_sc hbond_sr_bb	1.9529192028	0.347226462052
fa_atr fa_rep fa_sol hbond_sc hbond_sr_bb	1.62676285973	0.605016009581
fa_pair fa_rep fa_sol hbond_sc hbond_sr_bb	1.93078167206	0.35911264135
fa_atr fa_pair fa_rep fa_sol hbond_sc hbond_sr_bb	1.64792189047	0.590826502645
hbond_bb_sc hbond_sc hbond_sr_bb	2.04828013649	0.173759976974
fa_atr hbond_bb_sc hbond_sc hbond_sr_bb	1.60551804552	0.614782923066
fa_pair hbond_bb_sc hbond_sc hbond_sr_bb	2.01869186754	0.23171032049
fa_atr fa_pair hbond_bb_sc hbond_sc hbond_sr_bb	1.62531824275	0.602056250916
fa_rep hbond_bb_sc hbond_sc hbond_sr_bb	2.12089769602	0.174453412453
fa_atr fa_rep hbond_bb_sc hbond_sc hbond_sr_bb	1.63455064836	0.598407662315
fa_pair fa_rep hbond_bb_sc hbond_sc hbond_sr_bb	2.06366162594	0.224367600023
fa_atr fa_pair fa_rep hbond_bb_sc hbond_sc hbond_sr_bb	1.64977204991	0.587610693172
fa_sol hbond_bb_sc hbond_sc hbond_sr_bb	1.85425447172	0.42423761098
fa_atr fa_sol hbond_bb_sc hbond_sc hbond_sr_bb	1.60978471185	0.612887244748
fa_pair fa_sol hbond_bb_sc hbond_sc hbond_sr_bb	1.85293145822	0.423823072306
fa_atr fa_pair fa_sol hbond_bb_sc hbond_sc hbond_sr_bb	1.63129257164	0.599212786629
fa_rep fa_sol hbond_bb_sc hbond_sc hbond_sr_bb	1.91753702553	0.382824436613
fa_atr fa_rep fa_sol hbond_bb_sc hbond_sc hbond_sr_bb	1.63540113399	0.599078448633
fa_pair fa_rep fa_sol hbond_bb_sc hbond_sc hbond_sr_bb	1.90547651381	0.38671624811
fa_atr fa_pair fa_rep fa_sol hbond_bb_sc hbond_sc hbond_sr_bb	1.651718764	0.587932976151
hbond_lr_bb hbond_sc hbond_sr_bb	2.02072635435	0.180856590165
fa_atr hbond_lr_bb hbond_sc hbond_sr_bb	1.61869664451	0.606295778406
fa_pair hbond_lr_bb hbond_sc hbond_sr_bb	2.00777310275	0.237118193765
fa_atr fa_pair hbond_lr_bb hbond_sc hbond_sr_bb	1.64135516423	0.591485003192
fa_rep hbond_lr_bb hbond_sc hbond_sr_bb	2.10974068132	0.173671305227
fa_atr fa_rep hbond_lr_bb hbond_sc hbond_sr_bb	1.66071795536	0.58211192678
fa_pair fa_rep hbond_lr_bb hbond_sc hbond_sr_bb	2.05507461274	0.229374472728
fa_atr fa_pair fa_rep hbond_lr_bb hbond_sc hbond_sr_bb	1.67469341473	0.571261807034
fa_sol hbond_lr_bb hbond_sc hbond_sr_bb	1.87162704736	0.40226946199
fa_atr fa_sol hbond_lr_bb hbond_sc hbond_sr_bb	1.59741352098	0.620309751887
fa_pair fa_sol hbond_lr_bb hbond_sc hbond_sr_bb	1.86821703935	0.405548808612
fa_atr fa_pair fa_sol hbond_lr_bb hbond_sc hbond_sr_bb	1.62596720102	0.602561993085
fa_rep fa_sol hbond_lr_bb hbond_sc hbond_sr_bb	1.95102008185	0.351783861614
fa_atr fa_rep fa_sol hbond_lr_bb hbond_sc hbond_sr_bb	1.63132043155	0.602216612016
fa_pair fa_rep fa_sol hbond_lr_bb hbond_sc hbond_sr_bb	1.9266669651	0.364912022618
fa_atr fa_pair fa_rep fa_sol hbond_lr_bb hbond_sc hbond_sr_bb	1.65136832355	0.588590512242
hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb	2.04641962346	0.181446097867
fa_atr hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb	1.60412836474	0.615838911284
fa_pair hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb	2.01400142051	0.239928749736
fa_atr fa_pair hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb	1.62275918841	0.603852589682
fa_rep hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb	2.11743190046	0.182609556072
fa_atr fa_rep hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb	1.63388081038	0.599144835512
fa_pair fa_rep hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb	2.05814526386	0.232882565035
fa_atr fa_pair fa_rep hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb	1.64803600143	0.589002716538
fa_sol hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb	1.83488316441	0.443936282152
fa_atr fa_sol hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb	1.61157831133	0.611783075658
fa_pair fa_sol hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb	1.83296335239	0.443733804228
fa_atr fa_pair fa_sol hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb	1.63168918267	0.598914578243
fa_rep fa_sol hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb	1.89590443379	0.404828940332
fa_atr fa_rep fa_sol hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb	1.63775499975	0.597500321868
fa_pair fa_rep fa_sol hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb	1.88436980763	0.40818378897
fa_atr fa_pair fa_rep fa_sol hbond_bb_sc hbond_lr_bb hbond_sc hbond_sr_bb	1.65276896202	0.587099711628
